                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.0376,                 1.0519,                 1.2104,                0.73304,                0.60536,                0.68567,                0.46402,                 1.1647,                 1.1838,                 1.2918,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.0879,                 1.0727,                 1.2261,                0.76549,                 0.5527,                0.66711,                0.43476,                  1.207,                 1.2498,                 1.3311,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.0396,                  1.063,                 1.2138,                0.72467,                0.57301,                0.66731,                0.44989,                 1.1692,                 1.2221,                 1.3006,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.0469,                 1.0714,                 1.2223,                0.77434,                0.56948,                0.68283,                0.45379,                 1.1696,                  1.244,                 1.3113,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.0427,                 1.0514,                 1.2228,                0.66199,                0.63606,                0.65405,                0.42997,                 1.1767,                 1.2489,                 1.3065,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.0273,                 1.0287,                 1.2152,                0.74946,                0.60431,                0.69051,                0.46578,                 1.1849,                 1.1891,                  1.328,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.0157,                 1.0021,                 1.1916,                0.78099,                0.59594,                0.68842,                0.46173,                 1.1505,                 1.1997,                 1.2895,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.0045,                0.99795,                 1.1912,                0.71732,                0.60383,                0.67737,                0.46978,                 1.1109,                 1.1589,                 1.2662,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.0396,                  1.043,                 1.2009,                0.75887,                0.63148,                0.71382,                0.48722,                 1.1497,                 1.1544,                 1.2971,             0.00080883,             0.00080883,             0.00080883
                     54,                0.98553,                0.99593,                  1.183,                0.77963,                0.60838,                0.68643,                0.46196,                 1.1314,                 1.2029,                 1.2853,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.0047,                 1.0106,                 1.1922,                0.73516,                 0.6493,                0.71446,                0.47964,                 1.1265,                 1.1658,                  1.286,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.0117,                0.98291,                 1.2006,                 0.7161,                0.66109,                0.70418,                0.47332,                 1.1378,                 1.1865,                 1.3004,             0.00075932,             0.00075932,             0.00075932
                     57,                0.97575,                0.98677,                 1.1751,                0.74455,                0.61058,                 0.6998,                0.47218,                 1.1715,                 1.1763,                 1.2973,             0.00074282,             0.00074282,             0.00074282
                     58,                0.99475,                 1.0011,                 1.1932,                0.76151,                0.62716,                0.71714,                0.49199,                 1.1158,                 1.1347,                 1.2651,             0.00072631,             0.00072631,             0.00072631
                     59,                0.97607,                0.97374,                 1.1785,                0.71714,                0.64136,                0.71464,                0.49629,                  1.102,                 1.1539,                 1.2738,             0.00070981,             0.00070981,             0.00070981
                     60,                0.99748,                0.96812,                 1.1766,                0.76439,                 0.6512,                0.72476,                0.49274,                 1.1274,                 1.1377,                 1.2697,             0.00069331,             0.00069331,             0.00069331
                     61,                0.96377,                0.93602,                  1.163,                0.74425,                0.61342,                0.69052,                0.46292,                  1.136,                  1.157,                 1.2751,              0.0006768,              0.0006768,              0.0006768
